fund,category,proposal,overall_score,votes_cast,yes,no,result,meets_approval_threshold,requested,status,reason_for_not_funded_status,challenge,unnamed:_6,unnamed:_4,unnamed:_2,fund_depletion,requested_$,unnamed:_1,unnamed:_3,reason_for_not_approved_status,requested_ada,abstain,unnamed:_5,fund_size:,approve
Fund7,DApps & Integrations,Integration in Trustee Wallet,3.93,166,27071993,15871321,11200672,YES,,NOT FUNDED,Over Budget,,,,,1350,45000,,,,,,,,
Fund7,DApps & Integrations,NFT-DAO Boxcar Framework Contracts,3.83,158,26757318,16848210,9909108,YES,,NOT FUNDED,Over Budget,,,,,1350,29600,,,,,,,,
Fund7,DApps & Integrations,Benefits App,3.93,192,28211098,20276829,7934269,YES,,NOT FUNDED,Over Budget,,,,,1350,115200,,,,,,,,
Fund7,DApps & Integrations,Trustful Global Projects,3.67,157,26222273,19472003,6750270,YES,,NOT FUNDED,Over Budget,,,,,1350,80100,,,,,,,,
Fund7,DApps & Integrations,P2P dApp for sharing tech gadgets.,3.62,150,26373968,20092188,6281780,YES,,NOT FUNDED,Over Budget,,,,,1350,56000,,,,,,,,
Fund7,DApps & Integrations,Cardano features for everyone,3.4,161,17355183,13022218,4332965,NO,,NOT FUNDED,Approval Threshold,,,,,1350,15000,,,,,,,,
Fund7,DApps & Integrations,Dollar-Cost Averaging DApp,3.07,166,17591821,13297602,4294219,NO,,NOT FUNDED,Approval Threshold,,,,,1350,15000,,,,,,,,
Fund7,DApps & Integrations,@chain-lib WordPress Plugin,1.83,144,17535270,15846532,1688738,NO,,NOT FUNDED,Approval Threshold,,,,,1350,7326,,,,,,,,
Fund7,DApps & Integrations,Local Charity Fundraising Platform,3.27,142,15465094,13958630,1506464,NO,,NOT FUNDED,Approval Threshold,,,,,1350,10000,,,,,,,,
Fund7,DApps & Integrations,Tokenized Scripting as a Service,2,136,17523803,16072634,1451169,NO,,NOT FUNDED,Approval Threshold,,,,,1350,13000,,,,,,,,
Fund7,DApps & Integrations,NFTPass - NFT Ticketing Solution,3.08,154,16584473,15317908,1266565,NO,,NOT FUNDED,Approval Threshold,,,,,1350,40000,,,,,,,,
Fund7,DApps & Integrations,Embedded EUTXO Manager,1.58,144,17463670,16362985,1100685,NO,,NOT FUNDED,Approval Threshold,,,,,1350,10000,,,,,,,,
Fund7,DApps & Integrations,Supply chains for industry 5.0,1.81,141,14996198,13965724,1030474,NO,,NOT FUNDED,Approval Threshold,,,,,1350,9000,,,,,,,,
Fund7,DApps & Integrations,NFT Trading Platform / DApp,3.22,148,16221670,15537194,684476,NO,,NOT FUNDED,Approval Threshold,,,,,1350,23880,,,,,,,,
Fund7,DApps & Integrations,Safety & Traceability in Cosmetics,2.78,140,15868263,15233944,634319,NO,,NOT FUNDED,Approval Threshold,,,,,1350,28000,,,,,,,,
Fund7,DApps & Integrations,Dokurizi - decentralised journalism,2.56,165,17440890,16855474,585416,NO,,NOT FUNDED,Approval Threshold,,,,,1350,120000,,,,,,,,
Fund7,DApps & Integrations,StoryTime - A Writers Marketplace,2.47,155,17281303,16707663,573640,NO,,NOT FUNDED,Approval Threshold,,,,,1350,41200,,,,,,,,
Fund7,DApps & Integrations,Galaxy Art DeFi Art Gallery,3.11,142,16022392,15799632,222760,NO,,NOT FUNDED,Approval Threshold,,,,,1350,30000,,,,,,,,
Fund7,DApps & Integrations,Market-Agnostic Recursive Royalties,1.47,153,17295399,17465793,-170394,NO,,NOT FUNDED,Approval Threshold,,,,,1350,12000,,,,,,,,
Fund7,DApps & Integrations,Vertra: tokenized properties market,2.58,147,15812993,16038537,-225544,NO,,NOT FUNDED,Approval Threshold,,,,,1350,60000,,,,,,,,
Fund7,DApps & Integrations,DLT & AI for Transport & Logistics,1.71,144,17316812,18011458,-694646,NO,,NOT FUNDED,Approval Threshold,,,,,1350,10000,,,,,,,,
Fund7,DApps & Integrations,Blockchain based insurance pool,2.4,143,15105787,15942734,-836947,NO,,NOT FUNDED,Approval Threshold,,,,,1350,29000,,,,,,,,
Fund7,DApps & Integrations,Building 'Realverse' Metaverse Dapp,2.39,139,15019507,15943188,-923681,NO,,NOT FUNDED,Approval Threshold,,,,,1350,10000,,,,,,,,
Fund7,DApps & Integrations,NFT market place to metaverse,2,146,15357776,16446756,-1088980,NO,,NOT FUNDED,Approval Threshold,,,,,1350,21000,,,,,,,,
Fund7,DApps & Integrations,Jakazi Handyman DApp,1.83,140,15015235,16307308,-1292073,NO,,NOT FUNDED,Approval Threshold,,,,,1350,30000,,,,,,,,
Fund7,DApps & Integrations,PRToken,2.44,134,14833809,16244022,-1410213,NO,,NOT FUNDED,Approval Threshold,,,,,1350,28000,,,,,,,,
Fund7,DApps & Integrations,Reverse Bidding Platform,3.11,163,18729171,20154990,-1425819,NO,,NOT FUNDED,Approval Threshold,,,,,1350,28600,,,,,,,,
Fund7,DApps & Integrations,chain-lib Token Viewer for everyone,2.2,135,14834157,16473901,-1639744,NO,,NOT FUNDED,Approval Threshold,,,,,1350,9562,,,,,,,,
Fund7,DApps & Integrations,New wallet for all OST participant,2.78,148,14907474,16685343,-1777869,NO,,NOT FUNDED,Approval Threshold,,,,,1350,75000,,,,,,,,
Fund7,DApps & Integrations,Anti-counterfeit B2B ecosyst Africa,3.33,160,17643198,19457767,-1814569,NO,,NOT FUNDED,Approval Threshold,,,,,1350,65000,,,,,,,,
Fund7,DApps & Integrations,Wine open market - Stappato,3.33,165,16927940,19122429,-2194489,NO,,NOT FUNDED,Approval Threshold,,,,,1350,10000,,,,,,,,
Fund7,DApps & Integrations,Decentralized Bees Delivery System,1.67,142,14662522,16876212,-2213690,NO,,NOT FUNDED,Approval Threshold,,,,,1350,21000,,,,,,,,
Fund7,DApps & Integrations,Breaking Worthless Traditions,2.04,147,15649605,18175331,-2525726,NO,,NOT FUNDED,Approval Threshold,,,,,1350,55000,,,,,,,,
Fund7,DApps & Integrations,@chain-lib Bidding Smart Contract,1.5,146,14584065,17115766,-2531701,NO,,NOT FUNDED,Approval Threshold,,,,,1350,15907,,,,,,,,
Fund7,DApps & Integrations,@chain-lib bundle selling component,1.56,143,14586436,17202888,-2616452,NO,,NOT FUNDED,Approval Threshold,,,,,1350,15439,,,,,,,,
Fund7,DApps & Integrations,Before Will DApp,3.08,150,17360669,20042411,-2681742,NO,,NOT FUNDED,Approval Threshold,,,,,1350,56000,,,,,,,,
Fund7,DApps & Integrations,@chain-lib Token mint/sell any site,1.89,135,14567617,18167915,-3600298,NO,,NOT FUNDED,Approval Threshold,,,,,1350,14907,,,,,,,,
Fund7,DApps & Integrations,Interaction with blockchain,1.56,144,14606923,18493204,-3886281,NO,,NOT FUNDED,Approval Threshold,,,,,1350,20000,,,,,,,,
Fund7,DApps & Integrations,Virtual Billboard,1.78,166,14772493,19810969,-5038476,NO,,NOT FUNDED,Approval Threshold,,,,,1350,60000,,,,,,,,
Fund7,DApps & Integrations,Content Wallet for Experiences,1.4,180,14783075,20778965,-5995890,NO,,NOT FUNDED,Approval Threshold,,,,,1350,100000,,,,,,,,
Fund7,DApps & Integrations,Smart Contract Video Streaming,1.22,183,17335319,23387070,-6051751,NO,,NOT FUNDED,Approval Threshold,,,,,1350,45000,,,,,,,,
Fund7,Disarm cyber disinformation att,Defending Cardano Staking Ecosystem,4.83,1640,251099486,2208982,248890504,YES,,FUNDED,,,,,,60500,39500,,,,,,,,
Fund7,Disarm cyber disinformation att,Fact Check for Cardano,4.52,965,160751531,3714248,157037283,YES,,FUNDED,,,,,,40500,20000,,,,,,,,
Fund7,Disarm cyber disinformation att,Japanese FUD / SCAM Buster 100,3.63,365,142915932,11429946,131485986,YES,,FUNDED,,,,,,39000,1500,,,,,,,,
Fund7,Disarm cyber disinformation att,Factpage: Cardano fact check site,4.25,464,98673207,3155973,95517234,YES,,FUNDED,,,,,,10500,28500,,,,,,,,
Fund7,Disarm cyber disinformation att,Prevent Attacks on Cardano,3.39,332,64217931,7676531,56541400,YES,,NOT FUNDED,Over Budget,,,,,10500,33000,,,,,,,,
Fund7,Disarm cyber disinformation att,₳GOV: Timelines and Treasury Data,3.76,345,65863177,9485376,56377801,YES,,NOT FUNDED,Over Budget,,,,,10500,25000,,,,,,,,
Fund7,Disarm cyber disinformation att,Reduce Disinformation With Facts,4.42,465,64349187,9026611,55322576,YES,,NOT FUNDED,Over Budget,,,,,10500,15000,,,,,,,,
Fund7,Disarm cyber disinformation att,CARDANO SCAMWATCH TASK FORCE,3.42,289,48428384,8613201,39815183,YES,,FUNDED,,,,,,6873,3627,,,,,,,,
Fund7,Disarm cyber disinformation att,Scam & disinformation database,3.33,253,37297854,11945910,25351944,YES,,NOT FUNDED,Over Budget,,,,,6873,13200,,,,,,,,
Fund7,Disarm cyber disinformation att,Cross Chain Cyber Security Collab,3.24,252,31397947,14415775,16982172,YES,,NOT FUNDED,Over Budget,,,,,6873,11000,,,,,,,,
Fund7,Disarm cyber disinformation att,Publishers Information Hub,2.67,205,24189575,19505205,4684370,YES,,NOT FUNDED,Over Budget,,,,,6873,10000,,,,,,,,
Fund7,Gamers On-Chained,Cardano games assets for Unity,4.89,1004,182708553,2669545,180039008,YES,,FUNDED,,,,,,193000,57000,,,,,,,,
Fund7,Gamers On-Chained,Social Mobile Game powered by CNFTs,4.92,1056,155971118,4885876,151085242,YES,,FUNDED,,,,,,148000,45000,,,,,,,,
Fund7,Gamers On-Chained,IRONSKY PlaytoEarn Milestone of ADA,4.92,790,148875069,5262389,143612680,YES,,FUNDED,,,,,,116574,31426,,,,,,,,
Fund7,Gamers On-Chained,Terra Cognita: AI+Blockchain Gaming,4.88,754,149791899,6220525,143571374,YES,,FUNDED,,,,,,62574,54000,,,,,,,,
Fund7,Gamers On-Chained,Cardano After Dark - Hold'em poker,4.61,554,118924628,6126433,112798195,YES,,FUNDED,,,,,,22574,40000,,,,,,,,
Fund7,Gamers On-Chained,NFT Game Assets API - [Revelar],4.67,402,106981840,4337354,102644486,YES,,FUNDED,,,,,,12274,10300,,,,,,,,
Fund7,Gamers On-Chained,AdaQuest - Concept Phase 2,4.58,497,90849670,8578570,82271100,YES,,NOT FUNDED,Over Budget,,,,,12274,55000,,,,,,,,
Fund7,Gamers On-Chained,No-Code NFT Generator [Revelar],4.5,279,85838279,4874637,80963642,YES,,NOT FUNDED,Over Budget,,,,,12274,13600,,,,,,,,
Fund7,Gamers On-Chained,Sandbox-MMO for language learning,4.46,278,84580841,6399856,78180985,YES,,NOT FUNDED,Over Budget,,,,,12274,33600,,,,,,,,
Fund7,Gamers On-Chained,Game Asset Management - [Revelar],4.53,255,72016542,2528150,69488392,YES,,FUNDED,,,,,,4624,7650,,,,,,,,
Fund7,Gamers On-Chained,Game Asset Image Embed [Revelar],4.33,194,74688803,5454397,69234406,YES,,NOT FUNDED,Over Budget,,,,,4624,11400,,,,,,,,
Fund7,Gamers On-Chained,Flooftopia: An Adorable CNFT Game!,4.52,309,71090502,6690088,64400414,YES,,NOT FUNDED,Over Budget,,,,,4624,55000,,,,,,,,
Fund7,Gamers On-Chained,Cross-NFT Gaming: NFT Fighters,4.5,243,63517581,5396310,58121271,YES,,NOT FUNDED,Over Budget,,,,,4624,37000,,,,,,,,
Fund7,Gamers On-Chained,Game Asset Minting Logic [Revelar],4.5,224,60629805,3409285,57220520,YES,,NOT FUNDED,Over Budget,,,,,4624,8500,,,,,,,,
Fund7,Gamers On-Chained,Game Asset Analytics [Revelar],4.21,182,56083470,4389728,51693742,YES,,NOT FUNDED,Over Budget,,,,,4624,11400,,,,,,,,
Fund7,Gamers On-Chained,Game Token Design [Revelar + Duo],4.6,271,59858139,9503279,50354860,YES,,NOT FUNDED,Over Budget,,,,,4624,12000,,,,,,,,
Fund7,Gamers On-Chained,Gamify LacedWhales Twitter bot,4.21,187,44600832,4380855,40219977,YES,,FUNDED,,,,,,624,4000,,,,,,,,
Fund7,Gamers On-Chained,OMIMIMO The Pure Water CNFTGame,3.5,148,46975840,10309905,36665935,YES,,NOT FUNDED,Over Budget,,,,,624,59000,,,,,,,,
Fund7,Gamers On-Chained,Be a Tree! - The Tree Simulator!!,3.67,173,40651900,7243120,33408780,YES,,NOT FUNDED,Over Budget,,,,,624,18300,,,,,,,,
Fund7,Gamers On-Chained,A Moon Based Metaverse on Cardano,4.21,250,41080288,11139891,29940397,YES,,NOT FUNDED,Over Budget,,,,,624,35000,,,,,,,,
Fund7,Gamers On-Chained,Defiants: Tales of the Ghostchain,4.21,179,36383270,10373401,26009869,YES,,NOT FUNDED,Over Budget,,,,,624,13500,,,,,,,,
Fund7,Gamers On-Chained,World of Pirates,3.96,218,36292207,12429093,23863114,YES,,NOT FUNDED,Over Budget,,,,,624,60000,,,,,,,,
Fund7,Gamers On-Chained,CrypTrolls: A DAO Gaming Experience,3.67,156,38462468,14781103,23681365,YES,,NOT FUNDED,Over Budget,,,,,624,90000,,,,,,,,
Fund7,Gamers On-Chained,Gaming dApp Hackathon,2.08,216,34805375,12730916,22074459,YES,,NOT FUNDED,Over Budget,,,,,624,50000,,,,,,,,
Fund7,Gamers On-Chained,Gliese 16c - Asian NFT game,4,149,35527632,14908355,20619277,YES,,NOT FUNDED,Over Budget,,,,,624,33300,,,,,,,,
Fund7,Gamers On-Chained,Connecting Tabletop Games & Cardano,3.93,200,33366179,13100956,20265223,YES,,NOT FUNDED,Over Budget,,,,,624,50000,,,,,,,,
Fund7,Gamers On-Chained,Adalot the MMO/RPG/ECO-Sim,4.17,186,31587375,12754320,18833055,YES,,NOT FUNDED,Over Budget,,,,,624,80000,,,,,,,,
Fund7,Gamers On-Chained,NFT pools for game asset swaps,3.89,152,29109955,10735832,18374123,YES,,NOT FUNDED,Over Budget,,,,,624,15000,,,,,,,,
Fund7,Gamers On-Chained,FulBit - NFT Football Game,4.08,169,29957073,12550726,17406347,YES,,NOT FUNDED,Over Budget,,,,,624,15000,,,,,,,,
Fund7,Gamers On-Chained,Plug-n-Play NFT/GameFi Toolkit,3.75,191,37127663,20077436,17050227,YES,,NOT FUNDED,Over Budget,,,,,624,150000,,,,,,,,
Fund7,Gamers On-Chained,Trybbles Blockchain-Enabled AR Pets,4.17,202,37968960,21490563,16478397,YES,,NOT FUNDED,Over Budget,,,,,624,159100,,,,,,,,
Fund7,Gamers On-Chained,Megaclite - Game Dev and Consulting,3.78,145,27936860,13423897,14512963,YES,,NOT FUNDED,Over Budget,,,,,624,100000,,,,,,,,
Fund7,Gamers On-Chained,Mechverse:Origin NFT based Game,3.78,145,26441444,13542467,12898977,YES,,NOT FUNDED,Over Budget,,,,,624,40000,,,,,,,,
Fund7,Gamers On-Chained,Metahagane - NFT Trading card game.,3.33,130,26104823,15197472,10907351,YES,,NOT FUNDED,Over Budget,,,,,624,34500,,,,,,,,
Fund7,Gamers On-Chained,Bears Club - Club Simulation Game,3.47,134,24844980,14917753,9927227,YES,,NOT FUNDED,Over Budget,,,,,624,40000,,,,,,,,
Fund7,Gamers On-Chained,Onboarding Untapped Communities,3.89,151,29243871,20588156,8655715,YES,,NOT FUNDED,Over Budget,,,,,624,50000,,,,,,,,
Fund7,Gamers On-Chained,market jetchicken NFT card game,2.67,159,23704339,15234185,8470154,YES,,NOT FUNDED,Over Budget,,,,,624,32000,,,,,,,,
Fund7,Gamers On-Chained,Firestrike Soccer Game Migration,3.56,163,29071362,23407015,5664347,YES,,NOT FUNDED,Over Budget,,,,,624,174000,,,,,,,,
Fund7,Gamers On-Chained,ReWILD! : Bison Ranching in AR,3.72,146,27322727,22558097,4764630,YES,,NOT FUNDED,Over Budget,,,,,624,65000,,,,,,,,
Fund7,Gamers On-Chained,Gamifying Littercoin,3.27,148,17585339,13902711,3682628,NO,,NOT FUNDED,Approval Threshold,,,,,624,75000,,,,,,,,
Fund7,Gamers On-Chained,Building the Realverse,2.89,129,15561222,13575800,1985422,NO,,NOT FUNDED,Approval Threshold,,,,,624,10000,,,,,,,,
Fund7,Gamers On-Chained,Virtual Portal: Decentralized Place,1.72,147,17028944,15205072,1823872,NO,,NOT FUNDED,Approval Threshold,,,,,624,1500,,,,,,,,
Fund7,Gamers On-Chained,Simple Play to Earn Game,2.47,141,15991419,14595773,1395646,NO,,NOT FUNDED,Approval Threshold,,,,,624,25000,,,,,,,,
Fund7,Gamers On-Chained,Money Management Game for Minors,2.08,146,16603616,15562719,1040897,NO,,NOT FUNDED,Approval Threshold,,,,,624,50000,,,,,,,,
Fund7,Gamers On-Chained,Cross-NFT Gaming: Shared Metaverse,2.87,133,15655996,14848919,807077,NO,,NOT FUNDED,Approval Threshold,,,,,624,35000,,,,,,,,
Fund7,Gamers On-Chained,DeFantasy- Daily Fantasy Football g,2.05,142,17077723,17253802,-176079,NO,,NOT FUNDED,Approval Threshold,,,,,624,30000,,,,,,,,
Fund7,Gamers On-Chained,Fractional minting application,2,135,16084610,16494626,-410016,NO,,NOT FUNDED,Approval Threshold,,,,,624,20000,,,,,,,,
Fund7,Gamers On-Chained,OctoWars - a DCCG based world,2.22,146,16108459,17505456,-1396997,NO,,NOT FUNDED,Approval Threshold,,,,,624,125000,,,,,,,,
Fund7,Gamers On-Chained,Clash royale & starcraft mixed game,2.17,144,15598259,17261334,-1663075,NO,,NOT FUNDED,Approval Threshold,,,,,624,35000,,,,,,,,
Fund7,Gamers On-Chained,Play-to-Earn NFT Football game,1.75,160,15059072,17675213,-2616141,NO,,NOT FUNDED,Approval Threshold,,,,,624,60000,,,,,,,,
Fund7,Gamers On-Chained,Platform for painters,1.72,157,14829854,17992276,-3162422,NO,,NOT FUNDED,Approval Threshold,,,,,624,30000,,,,,,,,
Fund7,Gamers On-Chained,Naisula and Aida,1.4,159,14530081,19340828,-4810747,NO,,NOT FUNDED,Approval Threshold,,,,,624,30000,,,,,,,,
Fund7,Global Sustainable Indep. SPOs,Open Source Guide: Off-Grid Pi Node,5,483,110823223,2204682,108618541,YES,,FUNDED,,,,,,96500,3500,,,,,,,,
Fund7,Global Sustainable Indep. SPOs,ADAPlus - Pool Boost,4.78,441,88733270,7195835,81537435,YES,,FUNDED,,,,,,58400,38100,,,,,,,,
Fund7,Global Sustainable Indep. SPOs,Easy Node Deployment - [Revelar],4.39,218,84538499,5352764,79185735,YES,,FUNDED,,,,,,53400,5000,,,,,,,,
Fund7,Global Sustainable Indep. SPOs,Stakeboard: Social Staking Platform,4.73,451,87815131,9640560,78174571,YES,,FUNDED,,,,,,7900,45500,,,,,,,,
Fund7,Global Sustainable Indep. SPOs,Staking DAO: Supporting Single SPOs,4,246,72770936,7987158,64783778,YES,,NOT FUNDED,Over Budget,,,,,7900,35000,,,,,,,,
Fund7,Global Sustainable Indep. SPOs,Cardsec 🔒: SPO Self-Audit Toolkit,4.21,145,67326596,7556263,59770333,YES,,NOT FUNDED,Over Budget,,,,,7900,20500,,,,,,,,
Fund7,Global Sustainable Indep. SPOs,Marketing Training for African SPOs,4.44,207,58885604,8192619,50692985,YES,,NOT FUNDED,Over Budget,,,,,7900,8000,,,,,,,,
Fund7,Global Sustainable Indep. SPOs,SPOs Supporting Community Projects,4.56,241,54649460,5651752,48997708,YES,,FUNDED,,,,,,1250,6650,,,,,,,,
Fund7,Global Sustainable Indep. SPOs,Delegation Matching Service,3.75,169,62502248,13553463,48948785,YES,,NOT FUNDED,Over Budget,,,,,1250,14800,,,,,,,,
Fund7,Global Sustainable Indep. SPOs,A world map of green Cardano,4.56,320,52237683,15429193,36808490,YES,,NOT FUNDED,Over Budget,,,,,1250,25000,,,,,,,,
Fund7,Global Sustainable Indep. SPOs,MissionDrivenPools Media Competiton,4.25,125,41247616,8229215,33018401,YES,,NOT FUNDED,Over Budget,,,,,1250,4000,,,,,,,,
Fund7,Global Sustainable Indep. SPOs,Stake Pool Key Documentation,4.33,171,48103194,15855455,32247739,YES,,FUNDED,,,,,,250,1000,,,,,,,,
Fund7,Global Sustainable Indep. SPOs,Pre-installed stakepool boxes,4.33,168,42454242,13170870,29283372,YES,,NOT FUNDED,Over Budget,,,,,250,12900,,,,,,,,
Fund7,Global Sustainable Indep. SPOs,Simplify SPO operations in Vietnam,4.25,150,42251770,13787296,28464474,YES,,NOT FUNDED,Over Budget,,,,,250,19670,,,,,,,,
Fund7,Global Sustainable Indep. SPOs,Mission driven and Accountable!,4.28,151,37683213,11146508,26536705,YES,,NOT FUNDED,Over Budget,,,,,250,15000,,,,,,,,
Fund7,Global Sustainable Indep. SPOs,Bare Metal Green Infrastructure,3.17,122,38119878,16357880,21761998,YES,,NOT FUNDED,Over Budget,,,,,250,20000,,,,,,,,
Fund7,Global Sustainable Indep. SPOs,Mission& Vision driven SPO Networks,4.44,157,32072743,12978015,19094728,YES,,NOT FUNDED,Over Budget,,,,,250,10500,,,,,,,,
Fund7,Global Sustainable Indep. SPOs,Sustainable SPO's Impact & Stories,3.92,108,27484447,14258478,13225969,YES,,NOT FUNDED,Over Budget,,,,,250,15000,,,,,,,,
Fund7,Global Sustainable Indep. SPOs,ALMAGUA CO2,3.6,104,26161553,16627706,9533847,YES,,NOT FUNDED,Over Budget,,,,,250,10000,,,,,,,,
Fund7,Global Sustainable Indep. SPOs,Eco SPOs to support Climate Action,3.17,128,18855354,17562928,1292426,NO,,NOT FUNDED,Approval Threshold,,,,,250,10000,,,,,,,,
Fund7,Global Sustainable Indep. SPOs,SolarPowered Community Staking Pool,2.67,140,19919416,19771245,148171,NO,,NOT FUNDED,Approval Threshold,,,,,250,30000,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",Introductory Blockchain MOOC PT-BR,4.9,701,162412637,1679736,160732901,YES,,FUNDED,,,,,,490850,9150,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",LATAM Industry Presentation Kit,4.78,518,126729658,986384,125743274,YES,,FUNDED,,,,,,483350,7500,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",LATAM Town Hall by Catalyst Swarm,4.77,483,121516925,4002087,117514838,YES,,FUNDED,,,,,,463862,19488,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",ALDEA NFT - Community Marketplace,4.75,393,116407434,4285250,112122184,YES,,FUNDED,,,,,,437012,26850,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",New d-EdTech Platform for LatAm,4.67,300,109327718,6268567,103059151,YES,,FUNDED,,,,,,385972,51040,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",Platform for Cardano Solar Farms,4.56,310,102884538,2645246,100239292,YES,,FUNDED,,,,,,371572,14400,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",Cardano Ambassadors & Latin America,4.6,332,97536383,2234379,95302004,YES,,FUNDED,,,,,,336072,35500,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",The Catalyst School | LATAM,4.59,263,87795196,1031702,86763494,YES,,FUNDED,,,,,,321002,15070,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",Win-Win Expansion in Latam,4.67,288,89345355,3577146,85768209,YES,,FUNDED,,,,,,306002,15000,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan","Token Allies, Latam Businesses",4.56,199,80821156,2655313,78165843,YES,,FUNDED,,,,,,281002,25000,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",DeFi School - Latin America,4.33,223,79067054,2927706,76139348,YES,,FUNDED,,,,,,264106,16896,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",Onboard Latin-American Industry!,4.53,216,77596280,2228159,75368121,YES,,FUNDED,,,,,,256606,7500,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",Newcomer Resources en Español,4.6,290,74687537,1316841,73370696,YES,,FUNDED,,,,,,248606,8000,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",Cardano for STEM Brazilian students,4.17,151,74939763,1729513,73210250,YES,,FUNDED,,,,,,241106,7500,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",Decentralized Education - dTeach,4.67,277,75304135,3118108,72186027,YES,,FUNDED,,,,,,212106,29000,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",GameChanger: Dandelion Deployment,4.78,421,83913885,13486195,70427690,YES,,FUNDED,,,,,,208506,3600,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",NOETH: Cardano for science in LATAM,4.53,193,76014303,5676968,70337335,YES,,FUNDED,,,,,,178506,30000,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",CardanoRio 2022: Hybrid event,4.58,221,68967750,2501187,66466563,YES,,FUNDED,,,,,,161005,17501,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",Sustainable LatinAmerican Use cases,4.53,191,65414323,1711347,63702976,YES,,FUNDED,,,,,,149005,12000,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",Spanish/Portuguese Voter Survey-AIM,4.73,335,70969382,13669170,57300212,YES,,FUNDED,,,,,,138505,10500,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",Networking/Education LATAM,4.5,182,66385528,12113193,54272335,YES,,FUNDED,,,,,,85505,53000,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",Cardano Totem: Onboarding the World,4.67,319,68940178,16630628,52309550,YES,,FUNDED,,,,,,45005,40500,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",Support small farmers in LATAM,4.33,180,54284915,4006701,50278214,YES,,FUNDED,,,,,,25005,20000,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan","Grow ALDEA, Grow Latin America",4.19,200,53148830,4471579,48677251,YES,,FUNDED,,,,,,225,24780,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",DID market study & deployment,3.72,126,57104112,8485286,48618826,YES,,NOT FUNDED,Over Budget,,,,,225,30000,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",Decentralized Content Distribution,4.17,139,60982495,13160082,47822413,YES,,NOT FUNDED,Over Budget,,,,,225,28450,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",Food produced with Agriculture 4.0,4.17,175,52406516,5098161,47308355,YES,,NOT FUNDED,Over Budget,,,,,225,85000,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",DALE,4.5,162,59329389,13855321,45474068,YES,,NOT FUNDED,Over Budget,,,,,225,35000,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",Endorsing the marginalized,4.5,170,53195351,9045041,44150310,YES,,NOT FUNDED,Over Budget,,,,,225,37000,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",Pathform LATAM: Custom growth paths,4.53,182,52129918,11884138,40245780,YES,,NOT FUNDED,Over Budget,,,,,225,35460,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",Milkomeda Latam Hackathon,3.58,249,53600053,17633287,35966766,YES,,NOT FUNDED,Over Budget,,,,,225,50000,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",Milkomeda documentation (es & pt),2.92,224,52779357,17262369,35516988,YES,,NOT FUNDED,Over Budget,,,,,225,4000,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",Spanish courses for universities,4.39,181,48610816,14870133,33740683,YES,,NOT FUNDED,Over Budget,,,,,225,4440,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",Latam Women Cardano Plutus Bootcamp,4.33,212,44019535,13640152,30379383,YES,,NOT FUNDED,Over Budget,,,,,225,70000,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",Portuguese onboarding Video Series,3.42,132,36471086,7026586,29444500,YES,,NOT FUNDED,Over Budget,,,,,225,6000,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",Cardano Training & Complex Networks,4.33,154,41958864,13231604,28727260,YES,,NOT FUNDED,Over Budget,,,,,225,14025,,,,,,,,
Fund7,"Grow Latin America, Grow Cardan",Gig Economy Marketplace LatAm,4.42,163,42396612,18098951,24297661,YES,,NOT FUNDED,Over Budget,,,,,225,78590,,,,,,,,
